Group No,Group Meaning & Context,Words with Meanings
11,Greed or Excessive Desire for Wealth,"Avarice: Extreme greed for wealth or material gain. Covet: To desire or crave wrongfully or eagerly what belongs to another. Insatiable: Impossible to satisfy; greedy or unquenchable. Rapacious: Aggressively greedy or grasping. acquisitive: Eagerly seeking to acquire and possess material wealth or goods. begrudge: To envy someone the possession or enjoyment of something; or give reluctantly. Usury: The illegal action or practice of lending money at unreasonably high rates of interest. Voracious: Wanting or devouring great quantities of food or possessing an insatiable appetite. Hanker: To feel a strong desire, craving, or longing for something."
12,"Secret, Hidden, Mysterious, or Hard to Understand","Abstruse: Difficult to understand, obscure, or esoteric. Arcane: Secret, mysterious, and understood by only a select few. Cryptic: Having a meaning that is mysterious, obscure, or enigmatic. Covert: Not openly acknowledged, secret, or hidden. Elusive: Difficult to find, catch, achieve, or recall. Enigma: A person or thing that is mysterious, puzzling, or difficult to understand. Esoteric: Intended for or likely to be understood by only a small number of people with specialized knowledge. Implicit: Implied though not plainly expressed; understood without direct statement. Furtive: Attempting to avoid notice or attention, typically because of guilt; secretive. Hermetic: Complete and airtight, or isolated and esoteric. Incantation: A series of words said as a magic spell or chant. Ineffable: Too great or extreme to be expressed or described in words. Labyrinth: A complicated irregular network of passages or paths; a maze. Latent: Existing but not yet developed or manifest; hidden or concealed. Nebulous: Vague, hazy, indistinct, or ill-defined. Obfuscate: To deliberately render unclear, confusing, or difficult to understand. Oblivion: The state of being completely forgotten or unaware. Obscure: Not discovered or known about, or uncertain and hard to understand. Opaque: Not able to be seen through; impossible to understand or explain. Recondite: Little known or difficult to understand; abstruse. Inscrutable: Impossible to understand or interpret; mysterious. Surreptitious: Kept secret, especially because it would not be approved of. Tacit: Understood or implied without being stated aloud. byzantine: Excessively complicated, intricate, or involved in structure. cabal: A secret political clique, faction, or conspiracy. cache: A hiding place used especially for storing provisions or valuables. encipher: To convert plain text into coded language or cipher. clandestine: Kept secret or done secretively, especially because illicit. confidant: A trusted person with whom one shares private or secret matters. connive: To secretly allow, scheme, or conspire to commit a harmful act. conundrum: A confusing, difficult, or intricate problem or riddle. convolution: A coil, twist, or complex intricate feature in a structure or argument. Eclipse: To obscure, overshadow, or surpass in importance. Impenetrable: Impossible to pass through, enter, or understand. Intrigue: To arouse curiosity or interest; fascinate or plot secretly. Mystic: Relating to mystery or spiritual significance beyond human comprehension. Occult: Relating to mystical, supernatural, or magical powers/practices. Omniscient: Knowing everything; having infinite awareness and understanding. Paranormal: Denoting events or phenomena that are beyond normal scientific explanation. Rarefied: Distant from the lives and concerns of ordinary people; esoteric or elevated. Tryst: A private romantic rendezvous or secret meeting between lovers. Turbid: Cloudy, opaque, or thick with suspended matter; confused or obscure. Uncanny: Strange or mysterious, especially in an unsettling way. Concealment: The action of hiding something or preventing it from being known. Disguise: To give a different appearance in order to conceal one's identity. Enigmatic: Difficult to interpret or understand; mysterious. Sequestered: Isolated, hidden away, or secluded from others. Shroud: A length of cloth used to wrap a body, or to cover and obscure from view. Sly: Having or showing a cunning, deceitful, or secretive nature. Stealthy: Done in a cautious, secretive manner so as not to be seen or heard. Whisper: To speak or utter in a soft, hushed, or quiet voice."
13,"Clear, Frank, Direct, and Logical","Candor: Honesty, frankness, and openness in expression. Categorical: Absolute, explicit, unconditional, and direct. Cogent: Clear, logical, persuasive, and convincing. Coherent: Logical, orderly, clear, and consistent. Concise: Giving a lot of information clearly and in few words. Discern: To perceive, recognize, or distinguish clearly. Equanimity: Mental calmness, composure, and evenness of temper, especially in a difficult situation. Explicit: Stated clearly and in detail, leaving no room for confusion or doubt. Literal: Taking words in their usual or most basic sense without metaphor or exaggeration. Incisive: Intelligently analytical and clear-thinking; sharp and direct. Ingenuous: Innocent, unsuspecting, and candid; naive. Laconic: Using very few words in speech or writing; concise. Lucid: Expressed clearly; easy to understand, or sane/rational. Elucidate: To make something clear; explain. Luminous: Full of or shedding light; bright or shining. Nuance: A subtle difference or distinction in meaning, expression, or sound. Palpable: Able to be touched or felt; easily perceived or obvious. Patent: Easily perceived or obvious; clear and open. Pertinent: Relevant or applicable to a particular matter; apposite. Pragmatic: Dealing with things sensibly and realistically in a way based on practical considerations. Salient: Most noticeable or important; prominent. Substantive: Having a firm basis in reality; meaningful, substantial, or real. Subtle: So delicate or precise as to be difficult to analyze or describe. Tacit: Understood or implied without being stated aloud. Tangible: Perceptible by touch; clear and definite. Veracity: Conformity to facts; accuracy, truthfulness, and honesty. articulate: Fluent, clear, and persuasive in expressing ideas verbally. brusque: Abrupt, blunt, or offhand in speech or manner. conspicuous: Standing out so as to be clearly visible or attracting attention. debunk: To expose the falseness or pretentiousness of an idea or belief. Distinct: Recognizably different in nature from something else; clear. Evince: To reveal or display the presence of a quality or feeling. Forthright: Direct, outspoken, and straightforward in manner. Limpid: Completely clear, transparent, and unclouded. Objective: Not influenced by personal feelings or opinions; impartial target. Trenchant: Vigorous or incisive in expression or style; sharp and perceptive. Apparent: Clearly visible or understood; seeming real or true. Eloquence: Fluent or persuasive speaking or writing. Enunciate: To express an idea clearly; pronounce words distinctly. Vivid: Producing clear, detailed, bright, and powerful mental images."
14,"Believable, Trustworthy, or Deserving Belief","Credible: Able to be believed, convincing, and trustworthy. Credence: Belief in or acceptance of something as true. Creditable: Deserving public acknowledgment and praise, though not exceptional. Disinterested: Not biased or influenced by personal interest; impartial. Fidelity: Faithfulness to a person, cause, or belief, demonstrated by continuing loyalty. Tenable: Able to be maintained or defended against attack or objection. Veracity: Conformity to facts; accuracy, truthfulness, and honesty. verisimilitude: The appearance or semblance of being true or real. bona fide: Genuine, authentic, real, or made in good faith. confidant: A trusted person with whom one shares private or secret matters. conviction: A firmly held belief or opinion; or a formal declaration of guilt. Plausible: Seeming reasonable, probable, or believable. Presumably: Used to convey what is very likely or probable. Fiduciary: Involving trust, especially regarding financial or legal duties."
15,Gullible or Overly Inclined to Believe,"Credulous: Overly ready to believe things; gullible. Gullible: Easily persuaded to believe something; credulous. Ingenuous: Innocent, unsuspecting, and candid; naive. Susceptible: Likely or liable to be influenced or harmed by a particular thing."
16,"Skeptical, Unbelieving, or Doubtful","Cynic: A person who believes that people are motivated purely by self-interest. Incredulous: Unwilling or unable to believe something; skeptical. Agnostic: One who believes that nothing can be known about the existence of God. Incredible: Impossible or difficult to believe; extraordinary. Diffident: Modest or shy because of a lack of self-confidence. Dubious: Hesitating or doubting; not to be relied upon. Dubiety: The state or quality of being doubtful or uncertain. askance: With an attitude or look of suspicion, distrust, or disapproval. demur: To raise doubts or objections, or show reluctance. Implausible: Not seeming reasonable, truthful, or likely to happen. Untenable: Incapable of being defended, maintained, or justified against criticism."
17,"Severe, Strict, Unadorned, or Simple","Austere: Severe, strict, unadorned, or simple in appearance or manner. Exacting: Making great demands on one's skill, care, or attention; strict. Fastidious: Very attentive to and concerned about accuracy and detail; meticulous. Gravity: Extreme importance, seriousness, or weightiness. Rigorous: Extremely thorough, exhaustive, or strict. Sobriety: The state of being sober, solemn, serious, or sensible. Stringent: Strict, precise, and exacting in requirements or rules. astringent: Harsh, severe, biting, or causing contraction of skin tissues. Dour: Severe, stern, or gloomy in manner or appearance. Draconian: Excessively harsh, severe, or cruel. Pristine: In its original condition; unspoiled and spotlessly clean. Puritanical: Practicing or affecting strict religious or moral behavior. Stark: Severe or bare in appearance or outline; complete and sheer. Delicate: Easily broken or damaged, fragile, or requiring tact. Rigidity: The quality of being stiff, inflexible, or strictly unyielding. Stern: Serious and unrelenting, strict, or severe."
18,"Self-Denying, Abstain from Indulgence, or Celibate","Abstinent: Refraining from indulgence, especially in food, drink, or physical pleasures. Ascetic: Practicing strict self-denial and abstaining from luxuries. Celibacy: The state of abstaining from marriage and sexual relations. Forbear: To politely or patiently restrain oneself from doing or saying something. Forgo: To omit or decline to take, enjoy, or use something. Frugal: Sparing or economical with regard to money or food; simple and plain. Husbandry: The care, cultivation, and management of crops and animals; frugal conservation. Parsimonious: Unwilling to spend money or use resources; stingy or frugal. Stoic: A person who can endure pain or hardship without showing feelings or complaining. Temperate: Showing moderation or self-restraint; mild. Lax: Not sufficiently strict, severe, or careful; negligent. Puritanical: Practicing or affecting strict religious or moral behavior. Spinster: An unmarried woman, typically past the usual age for marriage."
19,"Unpredictable, Irregular, or Deviating from Normal","Aberration: A departure from what is normal, usual, or expected. Capricious: Given to sudden, unpredictable changes of mood or behavior. Anomaly: Something that deviates from what is standard, normal, or expected. Desultory: Lacking a plan, purpose, or enthusiasm; jumping from one thing to another. Eccentric: Unconventional and slightly strange or quirky in behavior. Heresy: Opinion profoundly at odds with accepted paramount beliefs or orthodox doctrine. Iconoclast: A person who attacks cherished beliefs or traditional institutions. Idiosyncrasy: A mode of behavior or way of thought peculiar to an individual; quirk. Incongruous: Not in harmony or keeping with the surroundings or other aspects. Paradox: A seemingly absurd or self-contradictory statement that may prove true. Precipitous: Dangerously high or steep, or done suddenly and without careful consideration. Singular: Exceptionally good or remarkable, or single and unique. Sporadic: Occurring at irregular intervals or only in a few places; scattered. Vacillate: To alternate or waver between different opinions or actions; be indecisive. vicissitude: A change of circumstances or fortune, typically one that is unwelcome or unpredictable. volatile: Liable to change rapidly and unpredictably, especially for the worse. errant: Erring or straying from the proper course, standard, or accepted boundaries. Disproportionate: Too large or too small in comparison with something else. Fickle: Changing frequently, especially regarding loyalties or interests. Intermittent: Occurring at irregular intervals; not continuous or steady. Motley: Incongruously varied in appearance or character; disparate. Peculiar: Strange, unusual, or distinctive to a particular person or thing. Quaint: Attractively unusual or old-fashioned. Singular: Exceptionally good or remarkable; unique or unusual. Skittish: Excitable or easily scared; nervous or unpredictable. Surreal: Having the qualities of a dream; bizarre or unreal. Uncanny: Strange or mysterious, especially in an unsettling way. Vagary: An unexpected and inexplicable change in a situation or in someone's behavior. Diverge: To separate from another route or go in a different direction. Aberrant: Departing from an accepted standard or normal behavior. Anomalous: Deviating from what is standard, normal, or expected. Deviant: Departing from usual or accepted standards, especially in social behavior. Erratic: Not even or regular in pattern or movement; unpredictable. Paradoxical: Seemingly absurd or self-contradictory. Waver: To falter, hesitate, or fluctuate unsteadily between choices or positions."
20,"False, Deceptive, Cunning, or Counterfeit","Apocryphal: Of doubtful authenticity, although widely circulated as true. Artifice: Clever or cunning devices used to trick or deceive others. Belie: To give a false impression, contradict, or misrepresent. Chicanery: The use of trickery or deception to achieve a political or financial goal. Charlatan: A person falsely claiming to have special knowledge or skill; a fraud. Contrived: Deliberately created or arranged rather than arising naturally; artificial. Collusion: Secret agreement or cooperation for a deceitful or illegal purpose. Complicity: Involvement with others in illegal activity or wrongdoing. Duplicity: Deceitfulness in speech or conduct; double-dealing. Equivocate: To use ambiguous language so as to conceal the truth or avoid committing oneself. Fabrication: The action or process of inventing or manufacturing something, especially a lie. Furtive: Attempting to avoid notice or attention, typically because of guilt; secretive. Guile: Sly or cunning intelligence, deceit, or duplicity. Beguile: To charm, enchant, or trick someone, sometimes deceptively. Insidious: Proceeding in a gradual, subtle way, but with harmful effects. Perfidy: Deceitfulness or untrustworthiness; treachery. Perjury: The offense of willfully telling an untruth in a court after taking an oath. Specious: Superficially plausible, but actually wrong or deceptive. Spurious: Not being what it purports to be; false or fake. connive: To secretly allow, scheme, or conspire to commit a harmful act. Disinformation: False information spread deliberately to deceive. Dissemble: To conceal one's true motives, feelings, or beliefs. Fallacy: A mistaken belief or a flaw in logical reasoning. Faux: Made in imitation; fake or artificial. Feign: To pretend to be affected by a feeling, state, or injury. Placebo: A harmless substance given as a dummy treatment. Pseudonym: A fictitious name, especially one used by an author. Quasi: Apparently but not really; seemingly or partly. Specious: Superficially plausible, but actually wrong or false. Subterfuge: Deceit used in order to achieve one's goal. Travesty: A false, absurd, or distorted representation of something. Veneer: A thin decorative covering of fine material, or a attractive superficial appearance. Charade: An absurd pretense intended to create a pleasant or respectable appearance. Deceitful: Guilty of or involving misleading or dishonest behavior. Devious: Showing a skillful use of underhanded tactics to achieve goals. Evasive: Tending to avoid commitment or self-revelation indirectly. Sham: Something that is false, fake, or a bogus pretense. Slimy: Covered in unpleasantly wet slippery substance, or repulsive and treacherous. Sly: Having or showing a cunning, deceitful, or secretive nature. Tamper: To interfere with or alter something illegally or improperly."
21,"To Pacify, Soothe, Reconcile, or Bring Peace","Appease: To pacify or satisfy someone by yielding to their demands. Conciliatory: Intended to placate, appease, or reconcile differences. Concord: Agreement, harmony, or peaceful coexistence between groups. Accord: An official agreement, harmony, or concurrence. Clemency: Mercy, leniency, or compassion toward offenders. Amnesty: An official pardon granted to individuals for political or other offenses. Acquiesce: To accept, comply, or agree passively without protest. Condone: To accept, overlook, or allow morally questionable behavior. Equanimity: Mental calmness, composure, and evenness of temper, especially in a difficult situation. Idyllic: Extremely happy, peaceful, or picturesque, especially in a rural setting. Pacify: To quell the anger, agitation, or excitement of; bring peace. Palliate: To make a disease or symptom less severe without curing it; alleviate. Placate: To make someone less angry or hostile; appease. Reparation: The making of amends for a wrong one has done, by paying money or helping. Respite: A short period of rest or relief from something difficult or unpleasant. Temperate: Showing moderation or self-restraint; mild. armistice: A formal agreement by warring parties to stop fighting; a truce. balm: A soothing substance, ointment, or comforting influence. composed: Calm, tranquil, and in control of one's feelings or emotions. compromise: An agreement or settlement reached by mutual concession. Halcyon: Denoting a period of time in the past that was idyllically happy and peaceful. Nirvana: A state of perfect peace, happiness, and liberation from suffering. Quell: To put an end to a rebellion or other disorder, typically by use of force. Quiescent: In a state or period of inactivity or dormancy. Repose: A state of rest, sleep, or tranquility. Serene: Calm, peaceful, and untroubled. Slake: To quench or satisfy a thirst, desire, or appetite. Solace: Comfort or consolation in a time of distress or sadness. Subside: To become less intense, violent, or severe; sink to a lower level. Allay: To diminish or put at rest fear, suspicion, or worry. Lenient: Merciful, mild, indulgent, or tolerant in judging or punishing. Placid: Calm, peaceful, and not easily excited. Reconcile: To restore friendly relations or make consistent. Truce: A temporary agreement to suspend fighting or cease hostilities."
